Title,Description,Rating,Rating Count,Genre,Duration
C&apos;era una volta il West,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,8.5,358916,"Drama, Western",PT2H46M
Django Unchained,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",8.5,1747539,"Comedy, Drama, Western",PT2H45M
City Lights,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",8.5,202234,"Comedy, Drama, Romance",PT1H27M
Apocalypse Now,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,8.4,728126,"Drama, Mystery, War",PT2H27M
Memento,"Leonard Shelby, an insurance investigator, suffers from anterograde amnesia and uses notes and tattoos to hunt for the man he thinks killed his wife, which is the last thing he remembers.",8.4,1353694,"Mystery, Thriller",PT1H53M
WALL·E,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.",8.4,1234765,"Animation, Adventure, Family",PT1H38M
Raiders of the Lost Ark,"In 1936, archaeologists and adventurers of the U.S. government hired Indiana Jones to find the Ark of the Covenant before the Nazis could obtain its extraordinary powers.",8.4,1057375,"Action, Adventure",PT1H55M
Das Leben der Anderen,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.",8.4,420127,"Drama, Mystery, Thriller",PT2H17M
12th Fail,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,8.8,136150,"Biography, Drama",PT2H27M
Avengers: Infinity War,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,8.4,1250429,"Action, Adventure, Sci-Fi",PT2H29M
Sunset Blvd.,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,8.4,243649,"Drama, Film-Noir",PT1H50M
Spider-Man: Into the Spider-Verse,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,8.4,704952,"Animation, Action, Adventure",PT1H57M
Paths of Glory,A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.,8.4,220843,"Drama, War",PT1H28M
Witness for the Prosecution,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,8.4,144067,"Crime, Drama, Mystery",PT1H56M
The Shining,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future.",8.4,1142774,"Drama, Horror",PT2H26M
